Trade,Buy Date,Sell Date,Buy Price,Sell Price,Return % (price),Shares,PnL Raw,PnL After Tax,Portfolio Value,Result
1,2011-01-14,2011-01-18,99.48,99.65,0.17,201,34.02,22.69,10022.69,WIN
2,2011-02-02,2011-02-14,100.4,102.66,2.25,200,451.64,301.24,10323.93,WIN
3,2011-02-15,2011-02-18,102.34,103.51,1.14,202,235.96,157.39,10481.32,WIN
4,2011-03-21,2011-03-31,100.25,102.46,2.2,209,460.49,307.14,10788.47,WIN
5,2011-04-01,2011-04-11,102.89,102.36,-0.52,210,-111.81,-111.81,10676.66,LOSS
6,2011-04-21,2011-05-02,103.38,105.26,1.82,207,389.46,259.77,10936.43,WIN
7,2011-05-10,2011-05-16,104.99,102.92,-1.97,208,-431.43,-431.43,10505.0,LOSS
8,2011-05-27,2011-06-02,103.17,101.79,-1.33,204,-280.12,-280.12,10224.88,LOSS
9,2011-06-20,2011-06-30,99.17,102.48,3.34,206,683.79,456.09,10680.96,WIN
10,2011-07-01,2011-07-07,104.0,105.11,1.08,205,229.69,153.21,10834.17,WIN
11,2011-07-18,2011-07-25,101.43,103.93,2.47,214,534.2,356.31,11190.48,WIN
12,2011-08-12,2011-08-17,91.73,92.93,1.31,244,293.69,195.89,11386.37,WIN
13,2011-08-23,2011-09-02,90.42,91.52,1.21,252,275.76,183.93,11570.3,WIN
14,2011-09-12,2011-09-20,90.6,93.8,3.53,255,817.51,545.28,12115.58,WIN
15,2011-10-05,2011-10-17,89.31,93.85,5.08,271,1230.41,820.69,12936.26,WIN
16,2011-10-18,2011-10-25,95.68,96.05,0.38,270,99.21,66.17,13002.44,WIN
17,2011-10-26,2011-10-28,97.03,100.38,3.46,268,899.61,600.04,13602.48,WIN
18,2011-11-07,2011-11-09,98.56,96.14,-2.46,276,-667.95,-667.95,12934.52,LOSS
19,2011-11-25,2011-12-01,90.81,97.55,7.42,285,1918.94,1279.93,14214.46,WIN
20,2011-12-02,2011-12-05,97.46,98.52,1.09,292,309.65,206.54,14420.99,WIN
21,2011-12-19,2011-12-27,94.49,99.36,5.15,305,1486.58,991.55,15412.54,WIN
22,2012-01-03,2012-01-13,100.15,101.21,1.05,308,323.96,216.08,15628.62,WIN
23,2012-01-17,2012-01-23,101.6,103.38,1.76,308,548.57,365.89,15994.52,WIN
24,2012-01-31,2012-02-07,103.16,105.88,2.64,310,845.28,563.8,16558.32,WIN
25,2012-03-09,2012-03-16,108.06,110.69,2.43,306,805.2,537.07,17095.38,WIN
26,2012-04-25,2012-05-03,109.82,109.86,0.04,311,14.74,9.83,17105.21,WIN
27,2012-05-21,2012-05-24,104.12,104.56,0.42,329,145.17,96.83,17202.04,WIN
28,2012-06-04,2012-06-13,101.07,104.2,3.1,340,1066.24,711.18,17913.22,WIN
29,2012-06-14,2012-06-21,105.3,105.03,-0.26,340,-92.28,-92.28,17820.95,LOSS
30,2012-06-25,2012-07-05,104.14,108.48,4.17,342,1484.62,990.24,18811.19,WIN
31,2012-07-16,2012-07-20,107.4,108.23,0.77,350,288.9,192.7,19003.89,WIN
32,2012-07-26,2012-07-31,107.99,109.21,1.13,352,429.84,286.7,19290.59,WIN
33,2012-08-03,2012-08-10,110.51,111.69,1.07,349,412.52,275.15,19565.74,WIN
34,2012-08-13,2012-08-14,111.64,111.65,0.01,351,5.56,3.71,19569.45,WIN
35,2012-08-16,2012-08-20,112.61,112.76,0.14,348,55.14,36.78,19606.23,WIN
36,2012-09-04,2012-09-14,111.84,116.77,4.4,351,1726.66,1151.68,20757.91,WIN
37,2012-10-03,2012-10-08,115.68,116.12,0.38,359,157.35,104.95,20862.86,WIN
38,2012-10-16,2012-10-18,116.04,116.26,0.19,360,80.28,53.54,20916.4,WIN
39,2012-11-01,2012-11-05,113.88,113.1,-0.69,367,-287.04,-287.04,20629.36,LOSS
40,2012-11-19,2012-11-30,110.93,113.33,2.17,372,895.57,597.35,21226.71,WIN
41,2012-12-07,2012-12-14,113.54,113.29,-0.22,374,-92.42,-92.42,21134.29,LOSS
42,2012-12-17,2012-12-20,114.63,115.7,0.94,369,396.9,264.73,21399.02,WIN
43,2012-12-27,2013-01-08,113.66,116.87,2.82,377,1206.32,804.62,22203.63,WIN
44,2013-01-10,2013-01-16,118.1,118.07,-0.02,376,-9.03,-9.03,22194.6,LOSS
45,2013-01-23,2013-01-31,119.94,120.2,0.22,370,98.08,65.42,22260.02,WIN
46,2013-02-14,2013-02-19,122.28,123.05,0.63,364,280.65,187.2,22447.22,WIN
47,2013-03-05,2013-03-12,123.89,125.0,0.9,362,404.46,269.78,22716.99,WIN
48,2013-03-28,2013-04-01,126.36,125.86,-0.4,360,-179.79,-179.79,22537.21,LOSS
49,2013-04-09,2013-04-15,126.42,125.11,-1.04,357,-468.71,-468.71,22068.5,LOSS
50,2013-04-23,2013-05-03,127.25,130.15,2.28,347,1004.26,669.84,22738.34,WIN
51,2013-05-06,2013-05-10,130.48,131.79,1.01,349,458.19,305.61,23043.95,WIN
52,2013-05-13,2013-05-20,131.9,134.63,2.07,349,955.36,637.22,23681.17,WIN
53,2013-07-01,2013-07-12,130.83,135.81,3.81,362,1805.13,1204.02,24885.2,WIN
54,2013-07-15,2013-07-17,136.33,136.17,-0.12,365,-59.2,-59.2,24825.99,LOSS
55,2013-07-18,2013-07-22,136.92,137.43,0.37,363,185.23,123.55,24949.54,WIN
56,2013-08-01,2013-08-02,138.37,138.6,0.17,361,84.77,56.54,25006.08,WIN
57,2013-08-12,2013-08-13,137.11,137.52,0.3,365,147.87,98.63,25104.71,WIN
58,2013-09-04,2013-09-12,134.39,136.98,1.93,374,969.37,646.57,25751.28,WIN
59,2013-09-16,2013-09-20,138.08,139.09,0.73,373,375.66,250.56,26001.84,WIN
60,2013-10-01,2013-10-02,137.97,137.84,-0.09,377,-49.15,-49.15,25952.69,LOSS
61,2013-10-10,2013-10-22,137.83,142.91,3.69,377,1914.6,1277.04,27229.73,WIN
62,2013-10-23,2013-11-04,142.23,144.07,1.29,383,705.03,470.25,27699.98,WIN
63,2013-11-13,2013-11-19,145.33,145.86,0.36,381,201.88,134.65,27834.64,WIN
64,2013-11-29,2013-12-02,147.47,147.08,-0.26,378,-144.55,-144.55,27690.08,LOSS
65,2013-12-18,2013-12-31,148.04,151.29,2.2,374,1216.94,811.7,28501.78,WIN
66,2014-01-09,2014-01-10,150.43,150.84,0.27,379,155.23,103.54,28605.32,WIN
67,2014-02-07,2014-02-14,147.19,150.74,2.42,389,1381.88,921.71,29527.03,WIN
68,2014-02-18,2014-02-28,150.92,152.6,1.11,391,657.08,438.27,29965.3,WIN
69,2014-03-03,2014-03-11,151.53,153.37,1.22,396,728.95,486.21,30451.51,WIN
70,2014-03-18,2014-03-24,153.72,152.57,-0.75,396,-458.12,-458.12,29993.39,LOSS
71,2014-03-31,2014-04-04,153.87,153.37,-0.33,390,-195.67,-195.67,29797.73,LOSS
72,2014-04-16,2014-04-25,153.14,153.27,0.09,389,51.23,34.17,29831.89,WIN
73,2014-05-05,2014-05-08,155.03,154.42,-0.39,385,-234.33,-234.33,29597.56,LOSS
74,2014-05-09,2014-05-13,154.65,156.29,1.06,383,629.86,420.12,30017.68,WIN
75,2014-05-21,2014-06-03,155.61,158.63,1.94,386,1164.96,777.03,30794.71,WIN
76,2014-06-04,2014-06-12,158.95,159.24,0.18,387,111.57,74.42,30869.13,WIN
77,2014-06-17,2014-06-23,160.3,161.94,1.02,385,630.15,420.31,31289.44,WIN
78,2014-06-30,2014-07-03,161.81,163.86,1.27,387,792.95,528.9,31818.34,WIN
79,2014-07-24,2014-07-25,164.23,163.46,-0.47,387,-297.9,-297.9,31520.43,LOSS
80,2014-08-08,2014-08-20,159.75,164.45,2.94,395,1852.98,1235.93,32756.37,WIN
81,2014-08-21,2014-08-25,164.93,165.51,0.35,397,229.86,153.32,32909.69,WIN
82,2014-08-29,2014-09-08,165.93,165.83,-0.06,397,-39.34,-39.34,32870.35,LOSS
83,2014-10-17,2014-10-29,156.54,164.55,5.11,420,3362.56,2242.83,35113.17,WIN
84,2014-10-30,2014-11-11,165.6,169.59,2.41,424,1690.69,1127.69,36240.86,WIN
85,2014-11-20,2014-11-28,170.75,172.1,0.79,424,571.14,380.95,36621.82,WIN
86,2014-12-04,2014-12-08,172.48,171.61,-0.51,425,-370.35,-370.35,36251.46,LOSS
87,2014-12-18,2014-12-31,171.75,171.66,-0.05,422,-37.01,-37.01,36214.46,LOSS
88,2015-01-09,2015-01-16,170.58,168.39,-1.28,425,-929.07,-929.07,35285.39,LOSS
89,2015-01-22,2015-01-26,172.13,171.58,-0.32,410,-222.56,-222.56,35062.82,LOSS
90,2015-02-02,2015-02-12,168.64,174.48,3.47,416,2431.05,1621.51,36684.33,WIN
91,2015-02-13,2015-02-23,175.2,176.4,0.68,419,500.11,333.57,37017.91,WIN
92,2015-02-26,2015-02-27,176.54,175.94,-0.34,419,-252.17,-252.17,36765.74,LOSS
93,2015-03-19,2015-03-25,174.97,172.61,-1.35,420,-990.31,-990.31,35775.43,LOSS
94,2015-04-02,2015-04-15,173.18,176.53,1.93,413,1382.89,922.39,36697.82,WIN
95,2015-04-21,2015-04-27,175.83,176.81,0.56,417,409.69,273.27,36971.08,WIN
96,2015-05-14,2015-05-22,178.02,178.68,0.37,415,271.79,181.28,37152.37,WIN
97,2015-06-03,2015-06-05,177.78,175.97,-1.01,418,-753.85,-753.85,36398.51,LOSS
98,2015-06-11,2015-06-12,177.54,176.18,-0.77,410,-557.27,-557.27,35841.24,LOSS
99,2015-06-18,2015-06-24,178.5,177.45,-0.59,402,-423.15,-423.15,35418.1,LOSS
100,2015-07-10,2015-07-21,174.9,178.5,2.06,405,1457.84,972.38,36390.47,WIN
101,2015-07-28,2015-08-05,176.46,177.08,0.35,412,257.29,171.61,36562.09,WIN
102,2015-08-17,2015-08-20,177.52,171.94,-3.14,412,-2298.71,-2298.71,34263.37,LOSS
103,2015-08-25,2015-09-01,157.86,161.66,2.4,434,1646.67,1098.33,35361.7,WIN
104,2015-09-10,2015-09-22,165.1,164.31,-0.48,428,-336.54,-336.54,35025.16,LOSS
105,2015-09-23,2015-09-24,164.05,163.46,-0.36,427,-253.3,-253.3,34771.87,LOSS
106,2015-09-30,2015-10-12,162.38,170.76,5.16,428,3589.14,2393.96,37165.82,WIN
107,2015-10-16,2015-10-28,172.24,177.06,2.79,432,2077.06,1385.4,38551.22,WIN
108,2015-10-29,2015-11-06,176.95,177.98,0.58,436,446.73,297.97,38849.19,WIN
109,2015-11-18,2015-12-01,176.87,178.52,0.93,439,725.9,484.18,39333.37,WIN
110,2015-12-16,2015-12-17,176.28,173.59,-1.52,446,-1198.75,-1198.75,38134.62,LOSS
111,2015-12-22,2015-12-31,173.46,173.78,0.18,440,138.69,92.51,38227.13,WIN
112,2016-01-21,2016-02-02,159.13,162.09,1.86,480,1421.06,947.85,39174.97,WIN
113,2016-02-12,2016-02-24,159.08,164.68,3.52,493,2758.19,1839.71,41014.69,WIN
114,2016-02-25,2016-02-29,166.68,164.99,-1.01,492,-830.62,-830.62,40184.07,LOSS
115,2016-03-01,2016-03-08,168.87,169.12,0.15,476,117.61,78.45,40262.52,WIN
116,2016-03-11,2016-03-23,172.83,174.11,0.74,466,594.98,396.85,40659.37,WIN
117,2016-03-30,2016-04-05,176.52,174.95,-0.89,461,-722.3,-722.3,39937.06,LOSS
118,2016-04-12,2016-04-21,176.43,179.04,1.48,453,1183.04,789.09,40726.15,WIN
119,2016-05-10,2016-05-11,178.6,176.93,-0.94,456,-762.0,-762.0,39964.15,LOSS
120,2016-05-16,2016-05-17,177.17,175.51,-0.93,451,-746.02,-746.02,39218.14,LOSS
121,2016-05-20,2016-05-23,176.06,175.82,-0.14,446,-106.88,-106.88,39111.25,LOSS
122,2016-05-24,2016-06-03,178.1,180.17,1.16,439,906.89,604.9,39716.15,WIN
123,2016-06-06,2016-06-09,181.08,181.71,0.35,439,274.32,182.97,39899.12,WIN
124,2016-06-17,2016-06-22,177.87,179.23,0.77,449,610.51,407.21,40306.33,WIN
125,2016-06-23,2016-06-24,181.56,175.04,-3.59,444,-2894.73,-2894.73,37411.6,LOSS
126,2016-06-29,2016-07-07,177.99,180.46,1.39,420,1039.12,693.09,38104.69,WIN
127,2016-07-08,2016-07-19,183.15,186.19,1.66,416,1268.64,846.18,38950.88,WIN
128,2016-08-03,2016-08-09,186.19,187.91,0.93,418,720.71,480.72,39431.59,WIN
129,2016-08-15,2016-08-16,188.69,187.72,-0.52,418,-406.75,-406.75,39024.84,LOSS
130,2016-09-02,2016-09-09,188.07,183.69,-2.33,415,-1819.26,-1819.26,37205.58,LOSS
131,2016-09-16,2016-09-23,184.69,186.96,1.23,403,913.74,609.46,37815.05,WIN
132,2016-09-30,2016-10-03,187.23,186.78,-0.24,404,-181.84,-181.84,37633.21,LOSS
133,2016-10-05,2016-10-11,186.65,184.75,-1.02,403,-767.93,-767.93,36865.28,LOSS
134,2016-10-18,2016-10-19,184.99,185.48,0.27,399,196.65,131.16,36996.44,WIN
135,2016-10-21,2016-10-26,185.22,185.01,-0.11,399,-82.99,-82.99,36913.45,LOSS
136,2016-11-07,2016-11-17,184.5,189.56,2.74,400,2022.76,1349.18,38262.63,WIN
137,2016-11-21,2016-12-02,190.56,190.16,-0.21,402,-163.37,-163.37,38099.26,LOSS
138,2016-12-05,2016-12-14,191.3,195.52,2.21,398,1682.56,1122.27,39221.53,WIN
139,2017-01-03,2017-01-05,196.12,197.13,0.52,400,404.0,269.47,39490.99,WIN
140,2017-01-24,2017-01-30,198.17,198.13,-0.02,399,-17.34,-17.34,39473.66,LOSS
141,2017-02-03,2017-02-07,199.69,199.34,-0.17,395,-137.7,-137.7,39335.96,LOSS
142,2017-02-08,2017-02-17,199.6,204.69,2.55,394,2007.65,1339.1,40675.06,WIN
143,2017-02-21,2017-02-23,205.91,205.87,-0.02,395,-17.19,-17.19,40657.87,LOSS
144,2017-03-01,2017-03-03,208.78,207.59,-0.57,389,-461.21,-461.21,40196.66,LOSS
145,2017-03-28,2017-04-05,205.79,205.31,-0.23,391,-184.47,-184.47,40012.18,LOSS
146,2017-04-18,2017-04-28,204.52,208.2,1.8,391,1440.52,960.83,40973.01,WIN
147,2017-05-08,2017-05-17,209.58,206.22,-1.6,391,-1313.0,-1313.0,39660.02,LOSS
148,2017-05-22,2017-05-23,209.46,209.92,0.22,379,175.51,117.07,39777.08,WIN
149,2017-05-24,2017-05-30,210.41,211.19,0.37,378,294.29,196.29,39973.38,WIN
150,2017-06-02,2017-06-06,213.52,212.69,-0.39,374,-314.33,-314.33,39659.05,LOSS
151,2017-06-19,2017-06-20,215.0,213.55,-0.67,369,-534.9,-534.9,39124.14,LOSS
152,2017-06-23,2017-06-27,213.65,212.07,-0.74,366,-579.32,-579.32,38544.83,LOSS
153,2017-06-28,2017-06-29,213.97,212.09,-0.88,360,-677.55,-677.55,37867.27,LOSS
154,2017-07-05,2017-07-06,213.34,211.38,-0.91,355,-692.52,-692.52,37174.75,LOSS
155,2017-07-13,2017-07-18,214.79,215.88,0.51,346,377.18,251.58,37426.33,WIN
156,2017-07-19,2017-07-21,217.04,216.95,-0.04,345,-33.36,-33.36,37392.97,LOSS
157,2017-07-25,2017-07-27,217.42,217.23,-0.09,344,-66.52,-66.52,37326.45,LOSS
158,2017-08-15,2017-08-16,216.62,217.0,0.17,345,130.21,86.85,37413.3,WIN
159,2017-08-22,2017-09-01,215.68,217.79,0.98,347,731.66,442.85,37856.14,WIN
160,2017-09-11,2017-09-21,218.99,220.24,0.57,346,430.7,252.82,38108.97,WIN
161,2017-09-27,2017-10-09,220.82,224.27,1.56,345,1188.77,697.81,38806.77,WIN
162,2017-10-17,2017-10-25,225.61,225.45,-0.07,344,-54.69,-54.69,38752.09,LOSS
163,2017-11-20,2017-11-27,228.11,229.81,0.75,340,579.1,339.93,39092.02,WIN
164,2017-11-28,2017-12-04,232.15,233.27,0.48,337,377.73,221.73,39313.75,WIN
165,2017-12-08,2017-12-20,234.48,237.02,1.09,335,854.31,501.48,39815.23,WIN
166,2018-01-02,2018-01-12,238.57,246.69,3.4,334,2710.94,1591.32,41406.55,WIN
167,2018-01-19,2018-01-24,248.9,251.36,0.99,333,818.07,480.2,41886.76,WIN
168,2018-02-13,2018-02-22,236.11,240.02,1.65,355,1385.74,813.43,42700.19,WIN
169,2018-02-26,2018-02-27,246.67,243.59,-1.25,346,-1066.32,-1066.32,41633.87,LOSS
170,2018-03-05,2018-03-08,241.6,243.3,0.7,345,584.33,343.0,41976.87,WIN
171,2018-03-09,2018-03-13,247.53,245.63,-0.77,339,-647.23,-647.23,41329.63,LOSS
172,2018-04-04,2018-04-06,234.88,231.46,-1.46,352,-1204.32,-1204.32,40125.31,LOSS
173,2018-04-10,2018-04-20,236.3,237.6,0.55,340,441.87,259.38,40384.69,WIN
174,2018-04-23,2018-04-24,237.56,234.36,-1.35,340,-1087.77,-1087.77,39296.93,LOSS
175,2018-04-26,2018-05-02,237.33,234.56,-1.17,331,-917.84,-917.84,38379.08,LOSS
176,2018-05-07,2018-05-15,237.88,241.6,1.57,323,1202.04,705.6,39084.68,WIN
177,2018-05-21,2018-05-23,243.62,243.61,-0.0,321,-2.87,-2.87,39081.81,LOSS
178,2018-06-01,2018-06-13,243.83,247.78,1.62,321,1265.56,742.88,39824.7,WIN
179,2018-07-06,2018-07-11,246.55,247.84,0.52,323,416.42,244.44,40069.14,WIN
180,2018-07-12,2018-07-13,250.09,250.29,0.08,320,63.1,37.04,40106.17,WIN
181,2018-07-18,2018-07-19,251.6,250.65,-0.38,319,-302.52,-302.52,39803.65,LOSS
182,2018-07-23,2018-07-27,250.83,251.92,0.44,317,346.62,203.47,40007.12,WIN
183,2018-08-02,2018-08-09,252.79,255.19,0.95,317,759.38,445.76,40452.88,WIN
