Date,Direction,Confidence,Entry,Exit,Shares,Position $,Volatility %,Stop Loss,Stopped Out,Return %,P&L $,Signals
2025-09-03,LONG,83.3%,$44.53,$44.71,112,$5000,3.42%,$43.19,NO,+0.39%,$+20,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-04,LONG,83.3%,$45.76,$46.98,109,$5000,3.41%,$44.38,NO,+2.68%,$+134,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-08,LONG,83.3%,$46.56,$46.75,107,$5000,3.62%,$45.16,NO,+0.42%,$+21,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-09,LONG,83.3%,$46.94,$47.73,106,$5000,3.40%,$45.54,NO,+1.67%,$+83,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-10,LONG,83.3%,$47.00,$47.60,106,$5000,3.21%,$45.59,NO,+1.28%,$+64,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-11,LONG,83.3%,$47.79,$47.98,104,$5000,3.12%,$46.36,NO,+0.40%,$+20,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-15,LONG,83.3%,$49.62,$49.83,100,$5000,2.82%,$48.13,NO,+0.43%,$+22,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-16,LONG,83.3%,$49.47,$49.44,101,$5000,2.77%,$47.99,NO,-0.06%,$-3,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-17,LONG,83.3%,$49.15,$50.37,101,$5000,2.92%,$47.68,NO,+2.48%,$+123,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-18,LONG,83.3%,$50.49,$50.94,99,$5000,2.95%,$48.98,NO,+0.88%,$+44,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-22,LONG,83.3%,$52.38,$52.39,95,$5000,2.54%,$50.81,NO,+0.02%,$+1,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-23,LONG,83.3%,$51.29,$51.50,97,$5000,2.61%,$49.76,NO,+0.40%,$+20,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-24,LONG,83.3%,$50.70,$49.50,98,$5000,2.66%,$49.18,NO,-2.37%,$-118,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-25,LONG,83.3%,$50.03,$50.00,99,$5000,2.65%,$48.53,NO,-0.06%,$-3,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-29,LONG,83.3%,$51.31,$51.25,97,$5000,2.69%,$49.77,NO,-0.12%,$-6,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-30,LONG,83.3%,$51.70,$50.75,96,$5000,2.66%,$50.15,NO,-1.84%,$-91,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-01,LONG,83.3%,$52.44,$53.39,95,$5000,2.75%,$50.87,NO,+1.80%,$+90,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-02,LONG,83.3%,$53.05,$53.24,94,$5000,2.73%,$51.46,NO,+0.36%,$+18,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-06,LONG,83.3%,$53.51,$53.85,93,$5000,2.88%,$51.90,NO,+0.64%,$+32,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-07,LONG,83.3%,$52.65,$52.86,94,$5000,2.92%,$51.07,NO,+0.41%,$+20,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-08,LONG,83.3%,$54.45,$54.42,91,$5000,2.81%,$52.81,NO,-0.06%,$-3,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-09,LONG,83.3%,$54.12,$54.49,92,$5000,2.81%,$52.50,NO,+0.69%,$+34,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-13,LONG,83.3%,$51.62,$50.08,96,$5000,3.91%,$50.08,YES,-3.00%,$-149,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-14,LONG,83.3%,$50.57,$52.07,98,$5000,4.21%,$49.05,NO,+2.97%,$+147,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-15,LONG,83.3%,$51.60,$52.33,96,$5000,4.23%,$50.06,NO,+1.40%,$+69,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-16,LONG,83.3%,$51.01,$50.46,98,$5000,4.56%,$49.48,NO,-1.08%,$-54,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-20,LONG,83.3%,$53.94,$53.95,92,$5000,4.56%,$52.32,NO,+0.01%,$+1,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-21,LONG,83.3%,$53.90,$53.71,92,$5000,4.43%,$52.28,NO,-0.34%,$-17,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-22,LONG,83.3%,$52.27,$52.14,95,$5000,4.84%,$50.70,NO,-0.25%,$-13,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-23,LONG,83.3%,$53.62,$54.99,93,$5000,4.75%,$52.01,NO,+2.57%,$+128,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-27,LONG,83.3%,$58.22,$58.82,85,$5000,4.59%,$56.47,NO,+1.04%,$+51,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-28,LONG,83.3%,$59.54,$60.28,83,$5000,4.48%,$57.75,NO,+1.25%,$+62,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-29,LONG,83.3%,$60.36,$59.29,82,$5000,4.52%,$58.55,NO,-1.76%,$-87,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-30,LONG,83.3%,$57.53,$59.72,86,$5000,4.29%,$55.81,NO,+3.81%,$+188,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-03,LONG,83.3%,$59.16,$57.39,84,$5000,3.87%,$57.39,YES,-3.00%,$-149,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-04,LONG,83.3%,$55.53,$55.34,90,$5000,4.26%,$53.86,NO,-0.33%,$-17,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-05,LONG,83.3%,$56.62,$56.18,88,$5000,4.09%,$54.92,NO,-0.77%,$-38,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-06,LONG,83.3%,$53.43,$52.51,93,$5000,4.49%,$51.83,NO,-1.72%,$-86,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-10,LONG,83.3%,$56.35,$55.63,88,$5000,4.77%,$54.66,NO,-1.26%,$-63,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-11,LONG,83.3%,$55.89,$56.76,89,$5000,4.62%,$54.21,NO,+1.57%,$+78,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-12,LONG,83.3%,$55.74,$54.79,89,$5000,4.64%,$54.07,NO,-1.71%,$-85,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-13,LONG,83.3%,$52.31,$50.75,95,$5000,5.23%,$50.75,YES,-3.00%,$-149,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-17,LONG,83.3%,$51.01,$49.99,98,$5000,5.72%,$49.48,NO,-2.02%,$-101,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-18,LONG,83.3%,$49.15,$49.33,101,$5000,6.11%,$47.68,NO,+0.35%,$+17,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-19,LONG,83.3%,$49.99,$52.96,100,$5000,6.01%,$48.50,NO,+5.93%,$+297,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-20,LONG,83.3%,$46.44,$46.83,107,$5000,7.26%,$45.05,NO,+0.83%,$+41,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-11-24,LONG,83.3%,$51.13,$50.64,97,$5000,6.90%,$49.60,NO,-0.96%,$-48,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
