Date,Direction,Confidence,Entry,Exit,Shares,Position $,Position %,Stop Loss,Stopped Out,Return %,P&L $,Signals
2024-01-08,LONG,100.0%,$24.35,$23.83,273,$6667,66.7%,$23.62,NO,-2.14%,$-142,RGTI:-0.9% | AEYE:-1.1%
2024-01-10,LONG,100.0%,$25.16,$25.23,264,$6667,66.7%,$24.41,NO,+0.26%,$+17,BBAI:-0.7% | AEYE:-1.1%
2024-01-19,LONG,100.0%,$27.43,$27.70,243,$6667,66.7%,$26.60,NO,+1.02%,$+68,RGTI:-1.5% | QUBT:-2.3% | INOD:-0.7% | AEYE:-2.4%
2024-01-22,LONG,80.0%,$27.42,$27.50,182,$5000,50.0%,$26.60,NO,+0.31%,$+15,QBTS:-0.6% | QUBT:-2.0% | SOUN:-0.5% | BBAI:-0.8% | AEYE:+0.8%
2024-01-23,LONG,66.7%,$27.96,$28.48,119,$3333,33.3%,$27.12,NO,+1.84%,$+61,QBTS:+1.1% | BBAI:-1.3% | AEYE:-0.6%
2024-01-29,LONG,60.0%,$28.66,$28.34,116,$3333,33.3%,$27.81,NO,-1.12%,$-37,RGTI:-0.9% | QBTS:+1.3% | QUBT:+0.7% | BBAI:-1.1% | AEYE:-1.7%
2024-02-02,LONG,100.0%,$28.46,$28.59,234,$6667,66.7%,$27.61,NO,+0.46%,$+30,QBTS:-3.1% | AEYE:-0.7%
2024-02-08,LONG,66.7%,$29.27,$29.52,113,$3333,33.3%,$28.39,NO,+0.85%,$+28,QBTS:-1.6% | SOUN:-0.5% | AEYE:+1.9%
2024-02-09,LONG,66.7%,$30.15,$30.11,110,$3333,33.3%,$29.25,NO,-0.15%,$-5,RGTI:+0.6% | QBTS:-1.8% | AEYE:-1.4%
2024-02-15,LONG,80.0%,$29.60,$29.58,168,$5000,50.0%,$28.71,NO,-0.07%,$-3,RGTI:-1.3% | QBTS:-1.0% | QUBT:-2.6% | SOUN:-0.8% | AEYE:+1.8%
2024-02-16,LONG,100.0%,$28.57,$28.29,233,$6667,66.7%,$27.71,NO,-0.96%,$-64,RGTI:-0.6% | INOD:-1.9%
2024-02-26,LONG,100.0%,$29.68,$29.98,224,$6667,66.7%,$28.78,NO,+1.03%,$+68,RGTI:-1.3% | SOUN:-0.6% | BBAI:-0.8% | AEYE:-0.8%
2024-03-01,LONG,100.0%,$31.50,$31.55,211,$6667,66.7%,$30.55,NO,+0.16%,$+11,RGTI:-0.8% | QBTS:-0.6% | BBAI:-0.6% | AEYE:-1.2%
2024-03-07,LONG,66.7%,$31.20,$31.46,106,$3333,33.3%,$30.26,NO,+0.83%,$+28,QBTS:-2.2% | QUBT:+0.9% | BBAI:-1.9%
2024-03-14,LONG,66.7%,$29.75,$29.34,112,$3333,33.3%,$28.85,NO,-1.35%,$-45,RGTI:-0.5% | BBAI:+2.2% | AEYE:-1.1%
2024-03-15,LONG,100.0%,$28.89,$29.94,230,$6667,66.7%,$28.02,NO,+3.63%,$+242,SOUN:-2.9% | AEYE:-1.6%
2024-03-20,LONG,66.7%,$31.31,$31.88,106,$3333,33.3%,$30.37,NO,+1.80%,$+60,RGTI:+0.6% | QBTS:-0.9% | SOUN:-0.8%
2024-03-27,LONG,66.7%,$30.84,$30.95,108,$3333,33.3%,$29.91,NO,+0.36%,$+12,QBTS:-1.0% | QUBT:+1.0% | SOUN:-0.6%
2024-04-03,LONG,100.0%,$30.67,$31.18,217,$6667,66.7%,$29.75,NO,+1.65%,$+110,QBTS:-0.5% | QUBT:-1.8% | BBAI:-0.5%
2024-04-12,LONG,100.0%,$29.20,$30.10,228,$6667,66.7%,$28.32,NO,+3.10%,$+206,RGTI:-0.8% | QBTS:-0.6% | BBAI:-1.1% | INOD:-1.1%
2024-04-16,LONG,100.0%,$28.17,$28.27,236,$6667,66.7%,$27.32,NO,+0.35%,$+24,RGTI:-1.7% | QBTS:-0.6% | SOUN:-0.9%
2024-04-17,LONG,66.7%,$27.00,$26.95,123,$3333,33.3%,$26.19,NO,-0.20%,$-7,QBTS:+0.6% | BBAI:-1.3% | AEYE:-0.6%
2024-04-18,LONG,100.0%,$26.10,$26.14,255,$6667,66.7%,$25.32,NO,+0.15%,$+10,RGTI:-0.8% | QUBT:-1.4% | BBAI:-0.5%
2024-04-23,LONG,66.7%,$27.02,$27.16,123,$3333,33.3%,$26.21,NO,+0.50%,$+17,BBAI:+0.6% | INOD:-0.9% | AEYE:-0.6%
2024-04-26,LONG,75.0%,$27.68,$28.04,180,$5000,50.0%,$26.84,NO,+1.32%,$+66,QBTS:+0.6% | SOUN:-0.7% | BBAI:-0.6% | AEYE:-1.2%
2024-04-29,LONG,66.7%,$27.98,$27.65,119,$3333,33.3%,$27.15,NO,-1.20%,$-40,RGTI:+1.5% | QBTS:-1.4% | QUBT:-0.6%
2024-04-30,LONG,66.7%,$26.11,$26.07,127,$3333,33.3%,$25.33,NO,-0.15%,$-5,RGTI:-0.7% | BBAI:+0.6% | AEYE:-0.6%
2024-05-07,LONG,75.0%,$29.31,$28.75,170,$5000,50.0%,$28.43,NO,-1.91%,$-95,RGTI:-0.8% | QBTS:-0.7% | IONQ:+1.0% | AEYE:-1.2%
2024-05-09,LONG,100.0%,$29.47,$29.68,226,$6667,66.7%,$28.59,NO,+0.71%,$+47,SOUN:-0.5% | BBAI:-0.7%
2024-05-29,LONG,66.7%,$31.91,$32.12,104,$3333,33.3%,$30.95,NO,+0.69%,$+23,QBTS:+0.7% | BBAI:-1.0% | INOD:-1.0%
2024-06-11,LONG,66.7%,$34.71,$35.51,96,$3333,33.3%,$33.67,NO,+2.29%,$+76,QBTS:+1.7% | QUBT:-3.9% | BBAI:-0.7%
2024-06-18,LONG,66.7%,$38.56,$38.73,86,$3333,33.3%,$37.41,NO,+0.43%,$+14,QBTS:-0.8% | QUBT:-0.7% | BBAI:+0.8%
2024-06-20,LONG,66.7%,$37.72,$37.45,88,$3333,33.3%,$36.58,NO,-0.70%,$-23,RGTI:+0.6% | QBTS:-0.9% | AEYE:-1.2%
2024-06-28,LONG,60.0%,$36.95,$37.08,90,$3333,33.3%,$35.84,NO,+0.37%,$+12,RGTI:-3.7% | QBTS:-4.2% | QUBT:+1.1% | SOUN:+0.8% | BBAI:-0.7%
2024-07-11,LONG,66.7%,$39.55,$39.76,84,$3333,33.3%,$38.37,NO,+0.51%,$+17,RGTI:-1.0% | QBTS:+0.8% | BBAI:-0.6%
2024-07-16,LONG,66.7%,$40.45,$39.24,82,$3333,33.3%,$39.24,YES,-3.00%,$-100,QUBT:+3.6% | BBAI:-2.4% | AEYE:-0.7%
2024-07-17,LONG,100.0%,$37.44,$37.91,178,$6667,66.7%,$36.32,NO,+1.24%,$+83,RGTI:-0.8% | QUBT:-2.2% | BBAI:-1.3%
2024-07-23,LONG,100.0%,$35.94,$35.12,185,$6667,66.7%,$34.86,NO,-2.28%,$-152,RGTI:-0.9% | QUBT:-0.9% | BBAI:-0.6%
2024-07-30,LONG,80.0%,$31.97,$33.49,156,$5000,50.0%,$31.01,NO,+4.77%,$+238,RGTI:-0.6% | IONQ:-0.6% | SOUN:-0.8% | BBAI:-4.1% | AEYE:+4.7%
2024-07-31,LONG,60.0%,$35.08,$34.29,95,$3333,33.3%,$34.02,NO,-2.24%,$-75,QBTS:-1.0% | QUBT:+0.8% | SOUN:+1.0% | BBAI:-1.3% | AEYE:-0.7%
2024-08-06,LONG,80.0%,$26.95,$28.79,185,$5000,50.0%,$26.14,NO,+6.81%,$+339,RGTI:-2.7% | QBTS:-0.9% | QUBT:-3.6% | SOUN:-0.6% | BBAI:+0.8%
2024-08-14,LONG,100.0%,$31.83,$33.06,209,$6667,66.7%,$30.87,NO,+3.90%,$+259,QUBT:-1.4% | INOD:-0.8%
2024-08-20,LONG,66.7%,$35.28,$35.59,94,$3333,33.3%,$34.22,NO,+0.88%,$+29,RGTI:-0.7% | QBTS:+0.9% | SOUN:-0.8%
2024-08-21,LONG,75.0%,$36.09,$36.43,138,$5000,50.0%,$35.01,NO,+0.94%,$+47,QBTS:-0.9% | QUBT:+1.1% | BBAI:-0.9% | AEYE:-0.6%
2024-08-22,LONG,100.0%,$34.45,$35.10,193,$6667,66.7%,$33.42,NO,+1.89%,$+125,QBTS:-0.6% | BBAI:-0.6%
2024-08-29,LONG,100.0%,$33.37,$34.06,199,$6667,66.7%,$32.37,NO,+2.07%,$+137,QBTS:-0.9% | QUBT:-3.0% | BBAI:-0.6%
2024-09-19,LONG,75.0%,$35.12,$35.08,142,$5000,50.0%,$34.07,NO,-0.14%,$-7,RGTI:-1.0% | QBTS:-1.1% | QUBT:+1.6% | BBAI:-1.3%
2024-09-25,LONG,66.7%,$36.27,$37.46,91,$3333,33.3%,$35.18,NO,+3.28%,$+108,IONQ:+0.5% | BBAI:-1.0% | AEYE:-0.6%
2024-09-27,LONG,66.7%,$35.75,$35.73,93,$3333,33.3%,$34.68,NO,-0.06%,$-2,RGTI:+0.7% | QBTS:-1.0% | BBAI:-0.8%
2024-10-11,LONG,66.7%,$36.98,$37.72,90,$3333,33.3%,$35.87,NO,+2.01%,$+67,RGTI:-1.6% | QUBT:+2.9% | BBAI:-2.4%
2024-10-21,LONG,60.0%,$37.52,$36.90,88,$3333,33.3%,$36.39,NO,-1.63%,$-54,RGTI:-3.9% | QBTS:+0.8% | QUBT:-2.2% | BBAI:-0.6% | AEYE:+0.9%
2024-10-30,LONG,100.0%,$36.98,$36.66,180,$6667,66.7%,$35.87,NO,-0.87%,$-58,RGTI:-0.7% | QUBT:-2.5%
2024-11-07,LONG,80.0%,$41.30,$41.11,121,$5000,50.0%,$40.06,NO,-0.46%,$-23,QBTS:+0.7% | IONQ:-1.4% | QUBT:-1.5% | SOUN:-0.7% | BBAI:-1.7%
2024-11-12,LONG,75.0%,$40.84,$40.93,122,$5000,50.0%,$39.61,NO,+0.22%,$+11,RGTI:-0.7% | QBTS:-0.6% | QUBT:-5.8% | SOUN:+3.2%
2024-11-14,LONG,75.0%,$39.55,$38.63,126,$5000,50.0%,$38.36,NO,-2.30%,$-115,RGTI:+0.7% | IONQ:-0.8% | QUBT:-3.8% | BBAI:-0.6%
2024-11-19,LONG,60.0%,$38.89,$38.58,85,$3333,33.3%,$37.72,NO,-0.81%,$-27,RGTI:+0.8% | QBTS:+1.0% | IONQ:-0.7% | BBAI:-0.7% | AEYE:-1.4%
2024-11-20,LONG,60.0%,$38.02,$39.27,87,$3333,33.3%,$36.88,NO,+3.30%,$+109,RGTI:+1.1% | QBTS:+1.1% | IONQ:-0.8% | QUBT:-0.5% | BBAI:-1.1%
2024-11-25,LONG,60.0%,$38.85,$39.65,85,$3333,33.3%,$37.68,NO,+2.05%,$+68,QBTS:+3.8% | IONQ:+0.8% | QUBT:-2.1% | INOD:-0.9% | AEYE:-0.8%
2024-11-27,LONG,66.7%,$39.12,$39.06,85,$3333,33.3%,$37.95,NO,-0.14%,$-5,RGTI:+2.0% | IONQ:-1.3% | QUBT:-0.6%
2024-12-04,LONG,75.0%,$42.90,$43.12,116,$5000,50.0%,$41.61,NO,+0.54%,$+27,QBTS:+1.0% | QUBT:-0.5% | INOD:-0.7% | AEYE:-9.6%
2024-12-19,LONG,66.7%,$39.91,$39.53,83,$3333,33.3%,$38.71,NO,-0.94%,$-31,QBTS:+2.2% | QUBT:-2.2% | INOD:-1.6%
2024-12-20,LONG,100.0%,$42.04,$41.73,158,$6667,66.7%,$40.78,NO,-0.75%,$-50,RGTI:-1.1% | QUBT:-3.9% | SOUN:-0.5%
2024-12-24,LONG,100.0%,$44.22,$43.81,150,$6667,66.7%,$42.89,NO,-0.93%,$-61,RGTI:-0.6% | QBTS:-0.6% | IONQ:-0.8% | BBAI:-2.9%
2024-12-26,LONG,66.7%,$43.91,$43.19,75,$3333,33.3%,$42.59,NO,-1.65%,$-54,RGTI:+2.0% | QBTS:-0.5% | BBAI:-1.0%
2025-01-02,LONG,100.0%,$39.67,$39.99,168,$6667,66.7%,$38.48,NO,+0.81%,$+54,RGTI:-1.1% | QBTS:-1.4% | QUBT:-1.8%
2025-01-03,LONG,100.0%,$41.31,$42.48,161,$6667,66.7%,$40.08,NO,+2.83%,$+188,RGTI:-0.9% | QUBT:-0.7% | BBAI:-1.1% | INOD:-1.4%
2025-01-16,LONG,60.0%,$39.56,$41.84,84,$3333,33.3%,$38.37,NO,+5.78%,$+192,QBTS:+1.0% | IONQ:-0.6% | QUBT:+1.9% | SOUN:-0.5% | BBAI:-1.0%
2025-01-21,LONG,100.0%,$42.97,$43.42,155,$6667,66.7%,$41.69,NO,+1.04%,$+69,RGTI:-0.9% | QBTS:-1.7% | SOUN:-0.7%
2025-01-28,LONG,66.7%,$41.27,$41.45,80,$3333,33.3%,$40.03,NO,+0.46%,$+15,RGTI:-1.3% | QUBT:-1.9% | INOD:+1.5%
2025-02-03,LONG,100.0%,$41.18,$40.45,161,$6667,66.7%,$39.94,NO,-1.76%,$-117,RGTI:-0.6% | INOD:-0.6% | AEYE:-0.8%
2025-02-04,LONG,100.0%,$41.41,$41.17,161,$6667,66.7%,$40.16,NO,-0.56%,$-37,RGTI:-1.2% | QBTS:-0.7% | IONQ:-0.5% | BBAI:-0.8%
2025-02-05,LONG,75.0%,$42.45,$42.48,117,$5000,50.0%,$41.18,NO,+0.07%,$+4,QBTS:-0.7% | QUBT:-0.5% | SOUN:+0.7% | BBAI:-1.9%
2025-02-06,LONG,100.0%,$42.95,$43.13,155,$6667,66.7%,$41.67,NO,+0.41%,$+27,RGTI:-0.6% | QUBT:-0.5%
2025-02-12,LONG,100.0%,$43.12,$42.99,154,$6667,66.7%,$41.82,NO,-0.29%,$-19,QBTS:-0.7% | BBAI:-0.6% | AEYE:-0.5%
2025-02-13,LONG,100.0%,$44.30,$44.41,150,$6667,66.7%,$42.97,NO,+0.25%,$+16,RGTI:-1.1% | QBTS:-1.2% | IONQ:-0.5% | QUBT:-0.6% | SOUN:-0.6%
2025-02-26,LONG,75.0%,$38.72,$39.86,129,$5000,50.0%,$37.56,NO,+2.94%,$+147,RGTI:-0.8% | IONQ:-5.1% | QUBT:-0.7% | INOD:+0.6%
2025-03-11,LONG,100.0%,$29.95,$30.97,222,$6667,66.7%,$29.05,NO,+3.41%,$+226,QBTS:-2.1% | QUBT:-0.5% | AEYE:-0.6%
2025-03-14,LONG,100.0%,$30.89,$30.94,215,$6667,66.7%,$29.97,NO,+0.15%,$+10,RGTI:-0.8% | QBTS:-1.4% | SOUN:-0.6% | BBAI:-0.6%
2025-03-20,LONG,100.0%,$30.80,$29.87,216,$6667,66.7%,$29.87,YES,-3.00%,$-200,QBTS:-1.7% | QUBT:-4.6% | BBAI:-0.5%
2025-03-24,LONG,100.0%,$33.02,$33.24,201,$6667,66.7%,$32.03,NO,+0.67%,$+44,RGTI:-0.5% | QUBT:-0.7% | SOUN:-0.6% | BBAI:-0.5%
2025-03-25,LONG,100.0%,$33.82,$33.32,197,$6667,66.7%,$32.81,NO,-1.48%,$-98,RGTI:-0.6% | QBTS:-0.5% | AEYE:-1.6%
2025-03-27,LONG,100.0%,$31.00,$30.77,215,$6667,66.7%,$30.07,NO,-0.76%,$-50,QBTS:-0.7% | AEYE:-1.5%
2025-03-28,LONG,66.7%,$28.27,$27.42,117,$3333,33.3%,$27.42,YES,-3.00%,$-99,QUBT:-0.6% | BBAI:-0.7% | INOD:+0.6%
2025-04-01,LONG,100.0%,$29.49,$28.61,226,$6667,66.7%,$28.61,YES,-3.00%,$-200,RGTI:-0.5% | QUBT:-0.8% | SOUN:-0.6%
2025-04-03,LONG,100.0%,$25.02,$24.27,266,$6667,66.7%,$24.27,YES,-3.00%,$-200,QUBT:-0.5% | INOD:-0.9%
2025-04-04,LONG,100.0%,$20.34,$19.72,327,$6667,66.7%,$19.72,YES,-3.00%,$-199,RGTI:-0.8% | QBTS:-0.7% | BBAI:-1.1%
2025-04-22,LONG,100.0%,$23.95,$24.62,278,$6667,66.7%,$23.24,NO,+2.78%,$+185,IONQ:-0.5% | BBAI:-0.9% | AEYE:-1.0%
2025-04-30,LONG,100.0%,$28.55,$28.78,233,$6667,66.7%,$27.69,NO,+0.82%,$+55,QUBT:-0.6% | AEYE:-1.4%
2025-05-01,LONG,100.0%,$28.00,$29.32,238,$6667,66.7%,$27.16,NO,+4.71%,$+314,INOD:-0.6% | AEYE:-0.5%
2025-05-06,LONG,100.0%,$29.18,$28.48,228,$6667,66.7%,$28.31,NO,-2.42%,$-161,RGTI:-0.6% | BBAI:-0.7%
2025-05-09,LONG,100.0%,$29.48,$32.92,226,$6667,66.7%,$28.59,NO,+11.70%,$+780,QBTS:-0.7% | IONQ:-0.6% | AEYE:-0.6%
2025-05-20,LONG,100.0%,$35.35,$34.62,188,$6667,66.7%,$34.29,NO,-2.07%,$-137,RGTI:-0.5% | INOD:-0.6%
2025-05-21,LONG,100.0%,$33.95,$34.08,196,$6667,66.7%,$32.93,NO,+0.40%,$+26,QBTS:-1.0% | QUBT:-0.6%
2025-05-23,LONG,66.7%,$32.96,$34.49,101,$3333,33.3%,$31.98,NO,+4.64%,$+155,QBTS:-1.4% | QUBT:+0.6% | INOD:-0.5%
2025-05-27,LONG,66.7%,$35.51,$35.67,93,$3333,33.3%,$34.44,NO,+0.45%,$+15,IONQ:-0.8% | QUBT:+0.5% | BBAI:-0.8%
2025-06-03,LONG,100.0%,$36.66,$36.79,181,$6667,66.7%,$35.56,NO,+0.35%,$+23,QBTS:-0.6% | QUBT:-0.8%
2025-06-04,LONG,75.0%,$36.85,$37.23,135,$5000,50.0%,$35.74,NO,+1.02%,$+51,IONQ:-0.5% | QUBT:-0.8% | BBAI:-1.2% | AEYE:+0.5%
2025-06-16,LONG,100.0%,$37.10,$37.34,179,$6667,66.7%,$35.99,NO,+0.65%,$+43,QUBT:-0.7% | BBAI:-0.6%
2025-06-20,LONG,100.0%,$36.35,$36.37,183,$6667,66.7%,$35.26,NO,+0.04%,$+3,QBTS:-0.6% | SOUN:-0.6%
2025-06-23,LONG,100.0%,$38.21,$38.45,174,$6667,66.7%,$37.06,NO,+0.65%,$+43,QBTS:-1.7% | QUBT:-0.9% | BBAI:-0.7%
2025-07-02,LONG,100.0%,$41.27,$41.74,161,$6667,66.7%,$40.03,NO,+1.15%,$+76,RGTI:-1.1% | IONQ:-0.7% | QUBT:-0.9% | SOUN:-0.5%
2025-07-03,LONG,100.0%,$42.33,$41.80,157,$6667,66.7%,$41.06,NO,-1.25%,$-83,RGTI:-1.9% | QBTS:-1.0% | IONQ:-1.0% | QUBT:-1.7% | INOD:-0.8%
2025-07-17,LONG,100.0%,$43.68,$43.82,152,$6667,66.7%,$42.37,NO,+0.32%,$+21,RGTI:-0.8% | QUBT:-0.7% | SOUN:-0.7% | AEYE:-0.6%
2025-07-18,LONG,100.0%,$43.41,$43.58,153,$6667,66.7%,$42.10,NO,+0.39%,$+26,QBTS:-0.6% | QUBT:-1.0% | AEYE:-0.6%
2025-07-28,LONG,66.7%,$45.08,$45.49,73,$3333,33.3%,$43.73,NO,+0.92%,$+30,QBTS:+1.0% | INOD:-2.3% | AEYE:-0.6%
2025-08-13,LONG,100.0%,$47.45,$46.92,140,$6667,66.7%,$46.03,NO,-1.12%,$-74,RGTI:-0.9% | QBTS:-1.1% | SOUN:-0.5% | BBAI:-0.5%
2025-08-14,LONG,75.0%,$47.11,$47.23,106,$5000,50.0%,$45.70,NO,+0.27%,$+13,RGTI:-0.7% | QBTS:-0.7% | QUBT:+0.7% | SOUN:-0.8%
2025-08-15,LONG,100.0%,$46.57,$46.40,143,$6667,66.7%,$45.17,NO,-0.36%,$-24,QBTS:-0.6% | QUBT:-1.2% | INOD:-0.6%
2025-09-08,LONG,66.7%,$46.59,$46.75,71,$3333,33.3%,$45.19,NO,+0.34%,$+11,QUBT:-0.6% | INOD:-0.5% | AEYE:+0.9%
2025-09-10,LONG,100.0%,$47.13,$47.59,141,$6667,66.7%,$45.72,NO,+0.99%,$+66,INOD:-0.6% | AEYE:-0.8%
2025-09-12,LONG,100.0%,$48.38,$48.82,137,$6667,66.7%,$46.93,NO,+0.91%,$+60,RGTI:-0.6% | QBTS:-0.8% | IONQ:-0.6%
2025-09-16,LONG,100.0%,$49.58,$49.45,134,$6667,66.7%,$48.09,NO,-0.26%,$-17,SOUN:-0.6% | INOD:-1.4%
2025-09-17,LONG,100.0%,$49.79,$50.38,133,$6667,66.7%,$48.30,NO,+1.18%,$+78,QBTS:-0.8% | BBAI:-0.7% | AEYE:-0.9%
2025-09-22,LONG,100.0%,$52.38,$52.40,127,$6667,66.7%,$50.81,NO,+0.03%,$+2,RGTI:-0.6% | QBTS:-1.4%
2025-09-25,LONG,100.0%,$49.94,$50.20,133,$6667,66.7%,$48.44,NO,+0.52%,$+35,QBTS:-1.6% | QUBT:-1.0%
2025-09-29,LONG,100.0%,$51.21,$51.20,130,$6667,66.7%,$49.67,NO,-0.01%,$-1,RGTI:-0.7% | AEYE:-0.8%
2025-10-03,LONG,100.0%,$52.23,$53.70,127,$6667,66.7%,$50.67,NO,+2.80%,$+186,QBTS:-0.7% | BBAI:-1.5%
2025-10-14,LONG,66.7%,$50.68,$52.07,65,$3333,33.3%,$49.16,NO,+2.74%,$+90,IONQ:+0.6% | BBAI:-0.6% | INOD:-1.0%
2025-10-31,LONG,100.0%,$58.36,$60.00,114,$6667,66.7%,$56.61,NO,+2.81%,$+187,QBTS:-0.6% | QUBT:-0.5%
2025-11-04,LONG,100.0%,$54.44,$55.34,122,$6667,66.7%,$52.81,NO,+1.65%,$+110,QBTS:-0.7% | BBAI:-0.6%
2025-11-19,LONG,66.7%,$52.40,$52.95,63,$3333,33.3%,$50.83,NO,+1.05%,$+35,RGTI:-0.9% | QBTS:-0.6% | AEYE:+1.0%
